ID,Start time,Completion time,Email,Name,What is the best age group that you identify with?,Tell us about your status? Reminder: Survey is anonymous,Have you been affected by Covid-19?,"In a scale from 1 (being lowest, horrible) to 10 (being the highest, fantastic), how would you rate your personal well being 5 months ago (before the outbreak)?","In a scale from 1 (being lowest, horrible) to 10 (being the highest, fantastic), how would you rate your personal well being now ?","In a scale from 1 (being lowest, horrible) to 10 (being the highest, fantastic), how would you predict your personal well being 5 months from now?","If you are currently experiencing high level of stress due to the pandemic, what would you say is the biggest factor causing your stress?"
1,4/28/20 1:33,4/28/20 1:38,anonymous,,17-21,Student,Yes,9,6,8,
2,5/1/20 21:41,5/1/20 21:42,anonymous,,17-21,Student,No,8,4,7,Social distancing and staying at home for a long period of time.
3,5/1/20 21:58,5/1/20 21:59,anonymous,,17-21,Student,Yes,9,5,8,Remote work/ Remote education.
4,5/1/20 22:02,5/1/20 22:02,anonymous,,17-21,Student,Yes,9,7,9,Social distancing and staying at home for a long period of time.
5,5/1/20 22:02,5/1/20 22:04,anonymous,,17-21,Student,No,7,6,8,Remote work/ Remote education.
6,5/1/20 22:03,5/1/20 22:06,anonymous,,17-21,Student,No,8,6,4,Social distancing and staying at home for a long period of time.
7,5/1/20 22:05,5/1/20 22:06,anonymous,,22-27,Student,Yes,10,8,9,Social distancing and staying at home for a long period of time.
8,5/1/20 22:06,5/1/20 22:07,anonymous,,28-35,Worker,Yes,9,6,8,Watching the news and daily statistics about the ongoing situation.
9,5/1/20 22:06,5/1/20 22:08,anonymous,,17-21,Student,No,4,3,7,Social distancing and staying at home for a long period of time.
10,5/1/20 22:07,5/1/20 22:08,anonymous,,17-21,Student,Yes,9,3,6,Remote work/ Remote education.
11,5/1/20 22:07,5/1/20 22:08,anonymous,,17-21,Student,Yes,10,2,5,Remote work/ Remote education.
12,5/1/20 22:08,5/1/20 22:09,anonymous,,17-21,Student,No,4,8,10,Social distancing and staying at home for a long period of time.
13,5/1/20 22:19,5/1/20 22:19,anonymous,,17-21,Student,No,7,7,8,Watching the news and daily statistics about the ongoing situation.
14,5/1/20 22:18,5/1/20 22:19,anonymous,,22-27,Student,Yes,6,1,1,Social distancing and staying at home for a long period of time.
15,5/1/20 22:19,5/1/20 22:20,anonymous,,17-21,Student,Yes,7,5,6,Remote work/ Remote education.
